birth_year,generation,country,education_level,occupation,employment_status,monthly_income_eur,age_first_job,months_to_first_job,housing_status,job_satisfaction,life_satisfaction,economic_anxiety
1964,Baby Boomer,Germany,Medium,Manufacturing,Employed,1628.0,22,25,With parents,1,1,5
1971,Gen X,Sweden,Low,IT,Inactive,1595.0,16,0,Own,8,7,2
1985,Millennial,Germany,High,Unemployed,Unemployed,1557.0,29,25,With parents,7,9,8
1998,Gen Z,France,Low,Retail,Employed,1556.0,24,30,Own,5,6,5
1964,Baby Boomer,Sweden,Medium,Finance,Inactive,1857.0,20,22,With parents,6,9,2
1988,Millennial,France,Low,Healthcare,Employed,3056.0,28,31,Own,9,4,6
1963,Baby Boomer,Czechia,Low,Construction,Employed,1191.0,17,0,With parents,1,6,6
1964,Baby Boomer,Spain,High,IT,Employed,1618.0,19,17,Own,3,2,5
1979,Gen X,Sweden,High,Healthcare,Employed,1732.0,23,16,Own,9,10,6
1991,Millennial,Czechia,High,Healthcare,Unemployed,2200.0,19,27,Rent,3,5,8
1946,Baby Boomer,Czechia,Medium,Education,Inactive,1513.0,25,0,Own,6,7,5
1974,Gen X,Poland,High,Unemployed,Employed,4068.0,20,35,Rent,10,6,1
1997,Gen Z,Poland,Medium,Unemployed,Employed,2725.0,17,4,Rent,2,1,2
1978,Gen X,Spain,High,Manufacturing,Employed,3077.0,20,4,With parents,9,3,9
1966,Gen X,Spain,Medium,Unemployed,Employed,2415.0,22,1,Rent,5,5,8
1947,Baby Boomer,Germany,Medium,Unemployed,Unemployed,3464.0,24,10,Own,8,9,4
1950,Baby Boomer,Czechia,Medium,Unemployed,Employed,1171.0,23,34,With parents,2,1,1
1959,Baby Boomer,Spain,Medium,Finance,Employed,1698.0,29,29,Own,8,10,8
1971,Gen X,France,High,Construction,Unemployed,1465.0,25,31,Rent,5,9,1
1954,Baby Boomer,Czechia,High,IT,Employed,2046.0,26,7,Rent,3,1,9
1953,Baby Boomer,Italy,Medium,Unemployed,Inactive,3625.0,21,1,Rent,6,2,10
1977,Gen X,France,Medium,Retail,Employed,4179.0,28,35,Rent,6,4,9
1976,Gen X,Sweden,Medium,Finance,Employed,3059.0,24,24,Own,8,6,5
1992,Millennial,Spain,High,Education,Employed,2112.0,22,18,Own,7,1,3
1950,Baby Boomer,Poland,Medium,Manufacturing,Employed,3208.0,18,6,With parents,9,7,1
1985,Millennial,France,Low,Retail,Unemployed,3535.0,26,13,With parents,1,9,2
2003,Gen Z,Poland,Medium,Retail,Employed,3259.0,27,3,Own,8,9,5
1980,Gen X,France,Low,Healthcare,Inactive,2080.0,28,32,Own,1,9,2
2003,Gen Z,Poland,High,Manufacturing,Employed,2104.0,16,29,Rent,9,2,6
2004,Gen Z,Netherlands,Medium,Education,Inactive,1608.0,20,19,Rent,10,2,3
1946,Baby Boomer,France,Medium,IT,Inactive,1979.0,24,13,With parents,3,1,7
1973,Gen X,Sweden,High,IT,Employed,1481.0,23,26,With parents,3,10,10
1948,Baby Boomer,Poland,Low,Education,Employed,2142.0,21,12,With parents,3,2,10
1945,Baby Boomer,Italy,Low,Healthcare,Unemployed,2179.0,28,6,Own,1,3,9
1963,Baby Boomer,Sweden,Medium,Healthcare,Employed,1423.0,29,17,With parents,7,2,1
1970,Gen X,Germany,Low,Retail,Inactive,4617.0,23,8,Own,4,5,3
1969,Gen X,France,Medium,Unemployed,Employed,2466.0,23,22,Own,3,4,10
1954,Baby Boomer,Italy,High,Manufacturing,Unemployed,3363.0,18,30,With parents,5,7,4
1997,Gen Z,Germany,High,Retail,Employed,3281.0,27,1,Own,1,7,6
1959,Baby Boomer,France,High,Unemployed,Unemployed,3949.0,21,4,Own,5,7,3
2003,Gen Z,Italy,High,Construction,Employed,1384.0,22,22,With parents,2,5,4
1966,Gen X,Italy,Medium,Construction,Unemployed,1709.0,17,31,With parents,8,10,10
1995,Millennial,Sweden,Medium,IT,Employed,567.0,28,15,With parents,9,4,5
1992,Millennial,Netherlands,Low,Education,Employed,744.0,26,10,With parents,9,8,4
1965,Gen X,Italy,High,Manufacturing,Inactive,1291.0,22,13,Rent,3,4,3
2003,Gen Z,Netherlands,Medium,Education,Unemployed,2063.0,25,2,Rent,8,5,7
2000,Gen Z,Spain,Low,Manufacturing,Inactive,2115.0,21,7,Rent,2,8,8
1966,Gen X,Sweden,Medium,Finance,Employed,5058.0,17,14,With parents,1,3,2
1980,Gen X,Czechia,Medium,IT,Employed,2653.0,17,8,Rent,1,7,10
1978,Gen X,Poland,Medium,IT,Employed,3073.0,21,15,With parents,7,1,6
1974,Gen X,Sweden,High,Finance,Employed,2328.0,18,25,Rent,1,2,9
1969,Gen X,Germany,Medium,Manufacturing,Employed,1019.0,21,31,Own,6,2,1
1989,Millennial,Poland,High,Healthcare,Employed,2467.0,24,17,With parents,8,5,8
1972,Gen X,Poland,Medium,Manufacturing,Inactive,747.0,25,7,Rent,10,2,6
1945,Baby Boomer,Czechia,High,IT,Employed,2038.0,27,31,Rent,4,4,4
1993,Millennial,Netherlands,High,Construction,Inactive,2783.0,16,9,With parents,2,1,6
1989,Millennial,Czechia,High,Education,Employed,1671.0,18,11,Own,4,6,10
1948,Baby Boomer,Czechia,Low,Retail,Inactive,2374.0,17,11,Rent,9,10,9
1951,Baby Boomer,Poland,Low,Education,Employed,1658.0,26,9,With parents,2,1,5
1993,Millennial,Italy,Medium,IT,Unemployed,1205.0,18,33,Rent,5,2,5
1953,Baby Boomer,Netherlands,Medium,Education,Employed,2639.0,17,29,Own,2,4,3
1980,Gen X,Poland,Medium,Healthcare,Inactive,3140.0,18,30,With parents,1,4,9
1963,Baby Boomer,Netherlands,High,Healthcare,Employed,3138.0,27,24,Rent,9,9,3
1945,Baby Boomer,Spain,Low,Construction,Employed,1983.0,19,23,Rent,5,5,5
1954,Baby Boomer,Netherlands,Medium,Manufacturing,Employed,242.0,28,32,With parents,6,10,1
1980,Gen X,France,Low,Unemployed,Employed,2279.0,22,8,Own,6,4,10
1953,Baby Boomer,Italy,High,Education,Inactive,3342.0,17,24,Rent,8,5,7
1989,Millennial,Germany,High,Education,Employed,1017.0,17,19,Own,4,7,8
1990,Millennial,France,Medium,IT,Unemployed,3803.0,17,16,With parents,1,9,8
1986,Millennial,France,Low,Manufacturing,Employed,347.0,28,5,Rent,7,9,10
1976,Gen X,Czechia,High,Manufacturing,Inactive,2557.0,21,35,Rent,6,1,1
1976,Gen X,Czechia,Medium,Education,Inactive,2947.0,23,19,Own,7,4,10
1950,Baby Boomer,France,Medium,Retail,Employed,3521.0,19,25,Own,8,4,10
1992,Millennial,Poland,High,Education,Employed,2613.0,27,11,Own,5,7,10
1982,Millennial,Netherlands,High,Education,Employed,1907.0,25,6,With parents,6,6,1
1961,Baby Boomer,Netherlands,Medium,Education,Employed,2351.0,18,29,Own,2,8,7
1954,Baby Boomer,Sweden,Medium,Healthcare,Employed,1586.0,24,21,Rent,5,4,1
1994,Millennial,Poland,Medium,Finance,Employed,409.0,16,28,With parents,3,8,5
1971,Gen X,Italy,Medium,Manufacturing,Employed,1982.0,25,21,With parents,5,6,4
1998,Gen Z,Poland,Medium,Finance,Employed,2642.0,17,23,With parents,9,2,3
1994,Millennial,Poland,Medium,Healthcare,Employed,3123.0,27,2,Rent,3,1,1
1979,Gen X,Poland,Low,Retail,Employed,1763.0,22,23,Own,3,10,8
1996,Millennial,Italy,Medium,Unemployed,Employed,3529.0,27,25,With parents,1,9,3
2003,Gen Z,Sweden,Low,IT,Employed,2049.0,18,4,With parents,1,8,10
1965,Gen X,Italy,Medium,Construction,Employed,2631.0,27,12,Rent,7,1,4
1969,Gen X,Spain,Medium,Retail,Employed,2871.0,24,21,Rent,9,4,4
1972,Gen X,Sweden,Medium,Manufacturing,Inactive,2248.0,16,33,Own,2,2,1
1991,Millennial,Spain,Medium,IT,Employed,2118.0,27,2,Own,2,2,1
1959,Baby Boomer,Spain,Medium,Finance,Unemployed,3601.0,24,31,Own,1,7,4
1948,Baby Boomer,Spain,High,Retail,Employed,671.0,21,23,Rent,5,10,6
1973,Gen X,Netherlands,Medium,Manufacturing,Employed,2238.0,16,8,With parents,10,5,6
2003,Gen Z,France,High,Construction,Employed,549.0,24,2,With parents,7,2,4
1953,Baby Boomer,France,Medium,Unemployed,Employed,582.0,24,21,Rent,1,1,6
1971,Gen X,Spain,Medium,Unemployed,Unemployed,2152.0,28,23,Own,8,1,2
1970,Gen X,Spain,Low,Construction,Employed,1727.0,25,9,With parents,1,4,4
1963,Baby Boomer,Germany,Medium,Retail,Inactive,4071.0,26,34,With parents,1,4,4
2000,Gen Z,Czechia,High,IT,Employed,1972.0,20,19,Rent,4,2,10
1972,Gen X,France,High,IT,Employed,3222.0,22,11,Own,2,2,5
1961,Baby Boomer,Czechia,High,Retail,Employed,2246.0,18,11,With parents,9,4,1
1987,Millennial,Czechia,Medium,Healthcare,Employed,1119.0,28,16,Own,10,8,3
2001,Gen Z,Germany,Medium,Retail,Employed,614.0,23,3,Rent,2,6,3
1985,Millennial,Czechia,Medium,Finance,Employed,973.0,28,7,Rent,7,1,4
1986,Millennial,Sweden,Medium,Retail,Unemployed,2495.0,18,6,Own,2,8,3
1994,Millennial,Germany,Low,Retail,Unemployed,3637.0,25,17,With parents,1,5,6
1964,Baby Boomer,Czechia,High,Healthcare,Employed,1378.0,22,25,With parents,9,10,2
1989,Millennial,Czechia,High,Education,Employed,2954.0,19,30,With parents,4,6,5
1984,Millennial,Poland,Medium,IT,Employed,2036.0,20,7,Own,7,7,6
1983,Millennial,Czechia,Medium,Finance,Employed,1242.0,22,33,Own,1,10,9
1993,Millennial,Netherlands,Low,Manufacturing,Unemployed,2519.0,17,15,With parents,8,6,10
1997,Gen Z,Sweden,Medium,IT,Employed,3632.0,19,19,Rent,6,3,1
1967,Gen X,Italy,Medium,IT,Unemployed,2132.0,22,9,Rent,2,10,3
1991,Millennial,France,High,Education,Inactive,2947.0,18,4,With parents,9,2,7
1976,Gen X,Spain,Medium,IT,Employed,2478.0,28,10,Own,1,2,8
1996,Millennial,Czechia,Medium,IT,Employed,2479.0,19,21,With parents,9,3,5
1991,Millennial,Sweden,Medium,Healthcare,Employed,1477.0,25,10,Rent,10,6,9
1977,Gen X,Spain,Low,Healthcare,Employed,2642.0,27,17,Rent,2,1,10
2001,Gen Z,Italy,High,Healthcare,Employed,884.0,23,17,Rent,6,3,8
1990,Millennial,Sweden,Medium,Healthcare,Unemployed,2525.0,18,30,With parents,9,2,1
1949,Baby Boomer,France,High,Healthcare,Employed,3435.0,27,19,With parents,3,4,1
1987,Millennial,Sweden,Medium,Unemployed,Unemployed,3824.0,24,22,Rent,3,1,8
1992,Millennial,Spain,High,Finance,Unemployed,1262.0,20,9,Rent,3,3,9
1978,Gen X,Spain,Low,Manufacturing,Inactive,2598.0,17,16,Rent,9,4,9
1984,Millennial,Poland,Medium,Education,Employed,1565.0,29,7,Rent,2,5,6
1955,Baby Boomer,Czechia,High,Retail,Inactive,2326.0,23,30,Own,4,4,7
1994,Millennial,Germany,High,Construction,Employed,3930.0,25,25,With parents,8,5,5
1947,Baby Boomer,Sweden,High,Finance,Employed,2990.0,23,8,Own,8,1,10
2002,Gen Z,Spain,Low,Healthcare,Inactive,1613.0,28,31,Rent,5,8,4
1977,Gen X,Netherlands,High,Education,Inactive,1562.0,28,22,Rent,2,2,8
1955,Baby Boomer,France,High,Retail,Employed,2215.0,16,31,Own,6,6,3
1960,Baby Boomer,Netherlands,Low,IT,Unemployed,2276.0,24,35,Own,8,2,7
1962,Baby Boomer,Italy,High,Unemployed,Employed,2320.0,17,4,Own,2,2,6
1974,Gen X,Sweden,Medium,Unemployed,Employed,860.0,29,0,Rent,4,8,10
1992,Millennial,Poland,Medium,Finance,Employed,3999.0,19,30,With parents,4,3,8
1999,Gen Z,France,Medium,IT,Employed,4088.0,21,30,With parents,9,8,6
1954,Baby Boomer,Poland,High,Education,Employed,2631.0,28,8,Own,10,2,2
1962,Baby Boomer,Germany,Low,Manufacturing,Employed,1417.0,24,32,Own,1,1,5
1982,Millennial,Spain,Medium,Manufacturing,Employed,1636.0,16,34,Own,9,1,4
1963,Baby Boomer,Czechia,Medium,Unemployed,Employed,1352.0,24,25,Rent,8,7,3
1980,Gen X,France,Medium,Education,Employed,1271.0,23,1,Own,1,8,6
2003,Gen Z,Italy,Medium,Construction,Employed,1629.0,27,33,Rent,10,1,5
1957,Baby Boomer,Czechia,Low,Construction,Employed,2580.0,22,16,With parents,6,3,3
2000,Gen Z,Sweden,High,Manufacturing,Employed,2316.0,17,5,Rent,10,4,6
1990,Millennial,Germany,High,Construction,Employed,3572.0,29,30,Own,2,8,4
1947,Baby Boomer,Germany,High,Manufacturing,Employed,829.0,22,27,Rent,3,7,7
1954,Baby Boomer,Poland,High,IT,Employed,1407.0,17,20,Rent,5,5,1
1982,Millennial,Germany,Medium,Construction,Employed,400.0,24,10,Rent,8,7,3
1945,Baby Boomer,France,Medium,Manufacturing,Inactive,2330.0,27,35,Rent,6,2,5
1999,Gen Z,Poland,Medium,Manufacturing,Employed,3641.0,19,26,Rent,9,7,2
2000,Gen Z,Czechia,Low,Education,Employed,1775.0,17,19,Rent,1,1,9
1971,Gen X,Germany,High,Manufacturing,Employed,3429.0,20,19,With parents,5,6,10
1990,Millennial,Sweden,Low,Construction,Employed,2824.0,24,1,With parents,4,8,1
1952,Baby Boomer,Czechia,High,Unemployed,Employed,2980.0,19,26,With parents,8,7,4
1995,Millennial,Italy,Low,Unemployed,Inactive,2727.0,20,17,Own,5,5,4
1990,Millennial,Sweden,High,Construction,Employed,3823.0,23,12,With parents,9,3,2
1986,Millennial,Netherlands,Low,Finance,Employed,2020.0,18,17,Own,2,7,10
1961,Baby Boomer,France,Low,Healthcare,Employed,2818.0,21,10,With parents,8,9,1
1953,Baby Boomer,Italy,High,Healthcare,Employed,3861.0,16,13,Rent,1,10,1
1950,Baby Boomer,Italy,Medium,Education,Inactive,1279.0,29,3,Rent,8,7,10
1987,Millennial,Poland,High,Healthcare,Employed,2006.0,18,12,With parents,9,1,10
1969,Gen X,Spain,Medium,IT,Employed,2717.0,23,18,With parents,3,10,5
1983,Millennial,Poland,Low,Finance,Employed,1427.0,25,24,Own,2,7,10
1993,Millennial,France,High,Finance,Employed,1389.0,25,14,Own,5,10,1
2004,Gen Z,France,Medium,Education,Employed,4027.0,21,19,Own,9,2,4
1972,Gen X,Poland,High,Construction,Employed,1469.0,25,16,Rent,8,7,4
1977,Gen X,Spain,Medium,Manufacturing,Employed,1870.0,29,0,With parents,1,5,4
1998,Gen Z,Sweden,Medium,Healthcare,Employed,2394.0,19,28,Own,1,6,5
1981,Millennial,Poland,Medium,IT,Employed,2586.0,27,18,With parents,8,6,2
1953,Baby Boomer,France,Low,Construction,Inactive,1709.0,23,29,With parents,3,10,3
1962,Baby Boomer,Spain,Medium,Education,Employed,2013.0,28,24,With parents,1,3,7
2000,Gen Z,France,Medium,Construction,Employed,1298.0,18,27,Rent,10,9,10
2003,Gen Z,Spain,Medium,Education,Unemployed,1702.0,17,10,Rent,1,3,9
1965,Gen X,Spain,Medium,Manufacturing,Employed,2826.0,25,15,Own,4,2,5
1946,Baby Boomer,Czechia,Medium,Retail,Employed,3016.0,23,17,With parents,6,2,5
2002,Gen Z,Poland,Low,Unemployed,Employed,3116.0,27,8,Own,9,7,9
1987,Millennial,Poland,Medium,Healthcare,Employed,2196.0,19,27,With parents,5,7,8
2003,Gen Z,Poland,Medium,IT,Employed,2023.0,27,26,With parents,7,2,8
2004,Gen Z,Spain,Low,Education,Employed,1023.0,24,22,With parents,9,4,5
1982,Millennial,Spain,Low,Construction,Employed,1880.0,26,21,Rent,5,5,4
2002,Gen Z,France,Low,Healthcare,Employed,2356.0,18,3,Rent,7,2,3
1984,Millennial,Italy,High,Construction,Employed,3179.0,24,31,With parents,9,8,10
1980,Gen X,Poland,High,IT,Inactive,460.0,25,23,Own,6,6,10
1994,Millennial,Czechia,Low,Finance,Employed,1897.0,21,27,Own,9,5,4
2004,Gen Z,Netherlands,Low,Finance,Employed,161.0,29,5,Rent,6,8,3
1987,Millennial,France,High,Unemployed,Employed,757.0,20,32,With parents,6,6,6
1981,Millennial,France,Medium,Unemployed,Employed,3386.0,28,30,Rent,3,9,3
1959,Baby Boomer,Germany,High,IT,Employed,1028.0,17,9,Own,5,7,3
1972,Gen X,Poland,High,Unemployed,Employed,2297.0,28,11,Own,7,8,1
1962,Baby Boomer,Sweden,Medium,Finance,Employed,3124.0,27,6,Rent,2,10,9
1978,Gen X,France,Low,Education,Employed,1779.0,26,23,With parents,6,7,5
1966,Gen X,Germany,High,Healthcare,Inactive,1098.0,21,27,Rent,2,7,10
1955,Baby Boomer,Netherlands,High,IT,Employed,2307.0,19,10,Rent,9,8,1
2002,Gen Z,Czechia,Medium,Education,Employed,3604.0,20,31,Rent,10,6,4
2001,Gen Z,Netherlands,Medium,Healthcare,Employed,3093.0,28,19,With parents,3,10,3
1957,Baby Boomer,Sweden,Medium,Healthcare,Employed,1976.0,26,27,With parents,7,4,7
1948,Baby Boomer,Poland,Medium,Education,Employed,1699.0,21,0,Own,7,9,6
1966,Gen X,Spain,High,Healthcare,Employed,3241.0,22,26,With parents,5,8,8
1951,Baby Boomer,Germany,High,Retail,Employed,885.0,19,15,With parents,10,4,8
1987,Millennial,Spain,Medium,IT,Employed,3043.0,26,35,With parents,2,3,8
1998,Gen Z,Netherlands,High,IT,Unemployed,1723.0,23,5,Rent,5,9,5
1968,Gen X,Netherlands,Low,Healthcare,Inactive,862.0,29,9,Own,2,5,3
1948,Baby Boomer,Italy,Low,Education,Employed,610.0,20,18,Own,3,8,4
1972,Gen X,Italy,Medium,Manufacturing,Unemployed,3672.0,22,9,Rent,8,9,7
1959,Baby Boomer,Czechia,Low,Unemployed,Inactive,2019.0,21,25,Own,6,6,8
1945,Baby Boomer,Sweden,Medium,Finance,Inactive,1395.0,26,33,Rent,10,9,9
1999,Gen Z,Italy,Medium,Healthcare,Employed,2161.0,26,0,Rent,10,10,5
1947,Baby Boomer,Italy,High,Manufacturing,Unemployed,1685.0,20,9,With parents,10,3,10
1958,Baby Boomer,Sweden,High,Healthcare,Employed,1715.0,22,32,With parents,4,6,4
1982,Millennial,France,Medium,Manufacturing,Employed,1753.0,26,25,With parents,8,10,7
1994,Millennial,Italy,Low,Healthcare,Unemployed,2207.0,19,33,Own,10,9,10
2001,Gen Z,France,Medium,Education,Unemployed,2882.0,22,12,With parents,9,2,4
1945,Baby Boomer,France,High,Finance,Employed,824.0,28,29,Own,5,3,3
1982,Millennial,Poland,Medium,Construction,Unemployed,3415.0,18,23,With parents,1,7,4
1982,Millennial,France,Low,Construction,Employed,1350.0,23,33,With parents,6,5,8
1965,Gen X,France,Low,Manufacturing,Employed,2431.0,25,18,Own,9,9,8
1992,Millennial,Italy,Medium,Unemployed,Employed,2148.0,19,1,Own,6,1,6
1973,Gen X,France,Low,Unemployed,Inactive,1474.0,19,29,With parents,6,8,8
1949,Baby Boomer,Spain,High,Retail,Inactive,3222.0,27,21,Rent,5,6,4
1993,Millennial,Sweden,High,Education,Unemployed,1485.0,29,31,Own,7,2,3
1954,Baby Boomer,Italy,Medium,Finance,Employed,3477.0,16,32,Own,4,6,7
1972,Gen X,Sweden,Medium,Healthcare,Employed,2801.0,23,14,With parents,4,1,6
1965,Gen X,Germany,Low,Manufacturing,Employed,1525.0,20,5,With parents,4,7,6
1994,Millennial,Italy,High,Unemployed,Employed,1121.0,24,35,Own,9,9,2
1951,Baby Boomer,France,Medium,Finance,Employed,3159.0,18,15,With parents,10,3,2
1947,Baby Boomer,Spain,Medium,IT,Employed,1173.0,20,20,Rent,3,4,10
1989,Millennial,Sweden,Medium,Unemployed,Employed,2080.0,29,33,Own,10,6,5
1991,Millennial,Italy,Medium,Education,Inactive,2827.0,27,34,Rent,3,5,3
1964,Baby Boomer,Spain,Medium,Manufacturing,Employed,2617.0,27,32,Own,3,2,3
1963,Baby Boomer,Sweden,Medium,Education,Unemployed,2017.0,29,7,Rent,3,8,9
1979,Gen X,Germany,Medium,Manufacturing,Employed,1543.0,19,11,With parents,8,10,9
1948,Baby Boomer,Netherlands,Medium,Construction,Employed,2850.0,27,17,With parents,9,10,1
1949,Baby Boomer,Czechia,Medium,IT,Employed,507.0,26,20,Own,8,10,6
1945,Baby Boomer,Czechia,Low,Retail,Employed,2434.0,22,26,Own,4,8,2
1948,Baby Boomer,Germany,Medium,IT,Employed,1033.0,25,11,Rent,10,2,5
1956,Baby Boomer,Netherlands,Medium,Healthcare,Employed,1410.0,29,5,With parents,7,2,2
2004,Gen Z,Poland,Medium,Education,Unemployed,2531.0,20,30,With parents,4,10,6
1971,Gen X,Netherlands,High,Retail,Inactive,1525.0,17,33,Rent,10,7,9
2000,Gen Z,Poland,Low,Education,Employed,3242.0,21,6,Own,1,3,7
1986,Millennial,Italy,Low,Finance,Employed,2836.0,28,30,Rent,7,9,1
1967,Gen X,Poland,Low,Manufacturing,Inactive,1572.0,29,3,Rent,3,6,6
1969,Gen X,Czechia,Medium,Healthcare,Unemployed,1997.0,19,16,Rent,5,3,2
1965,Gen X,Czechia,Medium,Healthcare,Employed,1207.0,21,28,Rent,3,6,2
2002,Gen Z,Spain,High,Education,Unemployed,2626.0,16,2,Own,1,8,3
1996,Millennial,Poland,Low,Construction,Employed,3611.0,26,23,Rent,9,7,8
1968,Gen X,Spain,Medium,Healthcare,Employed,1124.0,28,2,With parents,2,7,7
1969,Gen X,Czechia,High,Unemployed,Employed,2370.0,27,26,Own,2,5,4
1989,Millennial,Sweden,High,Education,Employed,2491.0,16,0,Rent,6,10,3
1999,Gen Z,Sweden,High,Manufacturing,Employed,1075.0,19,14,Rent,1,4,1
1990,Millennial,Netherlands,High,Manufacturing,Employed,1292.0,22,13,With parents,8,8,10
1976,Gen X,Netherlands,High,Education,Inactive,573.0,26,3,Rent,4,9,4
1999,Gen Z,Netherlands,Low,IT,Employed,2705.0,22,3,With parents,3,2,8
1976,Gen X,Poland,Low,IT,Employed,1876.0,16,24,With parents,5,5,1
1949,Baby Boomer,Netherlands,Low,Manufacturing,Employed,1547.0,29,10,Rent,8,7,2
1980,Gen X,Poland,High,Retail,Employed,4058.0,20,32,Own,1,5,10
1990,Millennial,Poland,High,Unemployed,Employed,578.0,21,10,Own,5,8,2
1986,Millennial,France,Low,IT,Unemployed,3357.0,20,11,Rent,9,8,9
1993,Millennial,France,Medium,Education,Unemployed,261.0,22,14,Rent,2,5,1
1986,Millennial,Poland,High,Manufacturing,Employed,1731.0,21,25,Own,8,8,6
2002,Gen Z,Sweden,High,Healthcare,Employed,671.0,20,23,Rent,2,2,4
1983,Millennial,Spain,Medium,Healthcare,Unemployed,1462.0,20,25,Rent,7,5,9
1960,Baby Boomer,Czechia,High,Construction,Employed,1713.0,24,26,With parents,9,5,6
1977,Gen X,Czechia,Medium,Unemployed,Employed,1561.0,18,35,Own,5,9,9
1993,Millennial,Italy,Medium,IT,Employed,2425.0,24,26,With parents,9,10,2
1965,Gen X,Germany,Medium,Retail,Inactive,2990.0,28,1,Own,1,2,2
1953,Baby Boomer,France,Medium,Finance,Employed,2098.0,26,22,With parents,7,3,6
1950,Baby Boomer,Poland,Low,IT,Inactive,2491.0,17,8,Own,4,10,10
1995,Millennial,Germany,High,Retail,Employed,3605.0,25,7,Own,7,9,2
1989,Millennial,France,High,IT,Employed,1572.0,22,0,With parents,1,6,4
1979,Gen X,Italy,High,Healthcare,Employed,3013.0,21,20,Rent,7,6,4
1983,Millennial,Czechia,Medium,Retail,Employed,4473.0,23,25,Own,7,10,5
1966,Gen X,Spain,Medium,Healthcare,Employed,3833.0,24,14,Rent,10,4,7
1985,Millennial,Poland,Medium,Unemployed,Employed,3666.0,28,24,Rent,10,3,10
1998,Gen Z,Italy,Low,Construction,Employed,2855.0,21,15,With parents,7,8,1
1949,Baby Boomer,Czechia,Medium,Education,Employed,3236.0,17,34,Rent,10,1,5
1986,Millennial,Sweden,Low,Education,Unemployed,1765.0,25,22,Rent,2,9,7
1967,Gen X,France,Low,Manufacturing,Unemployed,2127.0,27,11,Own,6,1,3
1961,Baby Boomer,Poland,High,Healthcare,Inactive,2022.0,19,18,Own,3,2,10
1956,Baby Boomer,Germany,Low,Healthcare,Unemployed,1603.0,29,33,Own,6,4,3
1967,Gen X,Sweden,High,Construction,Employed,2332.0,29,7,Rent,5,5,8
1960,Baby Boomer,Czechia,Medium,Manufacturing,Employed,1728.0,18,22,Own,4,4,4
1947,Baby Boomer,Sweden,High,Unemployed,Inactive,2256.0,18,10,Own,8,10,2
1974,Gen X,Netherlands,Low,Education,Employed,957.0,20,33,Own,2,10,6
2001,Gen Z,Spain,Medium,Education,Employed,1720.0,25,4,With parents,7,8,5
1966,Gen X,Czechia,Medium,Retail,Unemployed,3384.0,16,24,Rent,4,9,7
1953,Baby Boomer,Sweden,High,Retail,Employed,2375.0,24,23,With parents,7,5,2
1973,Gen X,France,Medium,Finance,Inactive,3401.0,19,23,With parents,5,2,5
1991,Millennial,Spain,Medium,Construction,Employed,1655.0,22,33,With parents,5,1,5
1981,Millennial,Poland,High,Education,Employed,1977.0,22,17,Own,9,9,3
1967,Gen X,Netherlands,Medium,Finance,Unemployed,2393.0,22,11,With parents,5,5,8
1957,Baby Boomer,Czechia,Low,IT,Employed,2025.0,26,14,Rent,8,3,7
1976,Gen X,Italy,Medium,Healthcare,Inactive,945.0,20,11,With parents,7,4,9
1990,Millennial,Spain,Medium,Retail,Inactive,2710.0,19,28,With parents,4,1,10
1996,Millennial,Germany,Medium,IT,Employed,1313.0,19,28,Rent,8,8,6
1991,Millennial,France,Medium,Retail,Employed,2191.0,28,19,Own,7,1,5
1992,Millennial,Czechia,Low,Manufacturing,Employed,283.0,20,14,With parents,4,5,5
1967,Gen X,Germany,Medium,Healthcare,Employed,1616.0,21,2,Rent,6,1,6
1989,Millennial,Spain,High,Finance,Inactive,2086.0,25,15,With parents,7,8,1
1961,Baby Boomer,Czechia,Medium,Unemployed,Employed,2705.0,22,18,With parents,10,5,7
1999,Gen Z,Netherlands,Medium,Finance,Employed,1088.0,20,6,Own,7,5,2
1984,Millennial,Italy,Low,Unemployed,Employed,1398.0,28,35,Rent,8,7,3
1965,Gen X,Italy,Low,Unemployed,Employed,3788.0,27,21,With parents,9,6,5
1946,Baby Boomer,Germany,Low,Retail,Inactive,3969.0,27,14,With parents,5,10,8
1981,Millennial,Poland,Medium,Education,Employed,2663.0,24,8,Rent,2,9,9
1950,Baby Boomer,Poland,Medium,Construction,Employed,3352.0,29,16,With parents,10,8,9
1988,Millennial,Netherlands,High,Finance,Employed,1845.0,24,32,Own,5,8,1
1962,Baby Boomer,Italy,Low,Manufacturing,Unemployed,2788.0,16,1,Rent,7,3,2
1974,Gen X,Germany,Medium,Manufacturing,Unemployed,2743.0,20,6,Own,3,3,5
1966,Gen X,Germany,Medium,Education,Unemployed,1353.0,17,30,Rent,10,5,3
1998,Gen Z,Czechia,Medium,Manufacturing,Employed,2377.0,19,13,With parents,5,8,6
1977,Gen X,Czechia,High,Construction,Employed,1934.0,26,3,Rent,6,3,3
1974,Gen X,Germany,Low,Healthcare,Inactive,2531.0,22,9,Rent,6,3,3
1961,Baby Boomer,Czechia,Low,Retail,Inactive,1718.0,25,21,Rent,4,8,10
1987,Millennial,Spain,Medium,Manufacturing,Employed,891.0,21,23,With parents,3,4,5
1976,Gen X,Czechia,Medium,Healthcare,Unemployed,2216.0,22,17,With parents,4,1,10
1986,Millennial,Netherlands,Low,Education,Inactive,2948.0,18,10,Own,1,5,7
1995,Millennial,Poland,Medium,Retail,Employed,2948.0,29,0,Own,8,5,7
